source,title,price_text,area_m2,district,description,url,crawled_at
phongtro123,"Cho thuê phòng trọ diện tích 15m2, có gác lửng, toilet trong phòng, chỉ còn 1 phòng duy nhất giá ưu đãi",1.9 triệu/tháng,15,"Cẩm Lệ, Đà Nẵng","Cho thuê phòng trọ diện tích 15m2, có gác lửng, toilet trong phòng, chỉ còn 1 phòng duy nhất giá ưu đãi 1.9 triệu/tháng 15 m 2 Cẩm Lệ, Đà Nẵng Phòng trọ diện tích 15m2, có gác lửng, có đồng hồ điện, nước riêng. Không chung chủ.Toalet trong phòng. Khu an ninh, yên tĩnh sạch sẽ.Gần Mega Market, Trung… 2 tuần trước",https://phongtro123.com/tinh-thanh/da-nang/cho-thue-phong-tro-dien-tich-15m2-co-gac-lung-toalet-trong-phong.html,2026-05-14T16:52:22
phongtro123,CHO THUÊ PHÒNG TRỌ tại ĐC: 41/8/12 Đặng Thùy Trâm,2 triệu/tháng,20,"Hải Châu, Đà Nẵng","CHO THUÊ PHÒNG TRỌ tại ĐC: 41/8/12 Đặng Thùy Trâm 2 triệu/tháng 20 m 2 Hải Châu, Đà Nẵng CHO THUÊ PHÒNG TRỌPhòng ở thoáng mát, điện nước trả theo chỉ số đồng hồ. Nhà vệ sinh, chỗ nấu ăn riêng.ĐC: 41/8/12 Đặng Thùy Trâm-Đà Nẵng(Gần… 4 tuần trước",https://phongtro123.com/cho-thue-phong-tro-dc-41-8-12-dang-thuy-tram-pr686166.html,2026-05-14T16:52:22
phongtro123,"Cho thuê phòng trọ tại Đa Mặn 15 - Ngũ Hành Sơn, giá 2.1tr",2.1 triệu/tháng,20,"Ngũ Hành Sơn, Đà Nẵng","Cho thuê phòng trọ tại Đa Mặn 15 - Ngũ Hành Sơn, giá 2.1tr 2.1 triệu/tháng 20 m 2 Ngũ Hành Sơn, Đà Nẵng - Cho thuê phòng trọ tại Đa Mặn 15, giá 2.1tr- Phòng hiện cho thuê và trả vào ngày 30/04/2026- Vị trí: Nằm trong khu dân cư đông đúc, nhiều tiện ích: gần… 4 tuần trước",https://phongtro123.com/cho-thue-phong-tro-tai-da-man-15-ngu-hanh-son-gia-2-1tr-pr705076.html,2026-05-14T16:52:22
phongtro123,CHỈ CÒN 1 PHÒNG - FULL NỘI THẤT - NGAY TRUNG TÂM THÀNH PHỐ,3.8 triệu/tháng,25,"Thanh Khê, Đà Nẵng","CHỈ CÒN 1 PHÒNG - FULL NỘI THẤT - NGAY TRUNG TÂM THÀNH PHỐ 3.8 triệu/tháng 25 m 2 Thanh Khê, Đà Nẵng Địa chỉ: Phần Lăng 9, Thanh Khê Giá thuê: 3.800.000 VNĐ/tháng Diện tích: 25 m2 TIỆN ÍCH NỔI BẬT:Nội thất: Giường, nệm, tủ quần áo, máy lạnh, tủ… 4 tuần trước",https://phongtro123.com/chi-con-1-phong-full-noi-that-ngay-trung-tam-thanh-pho-2-pr705055.html,2026-05-14T16:52:22
phongtro123,"1 phòng duy nhất có sân thượng thoáng, full nội thất, gần 3 trường Đại học, chợ đầu mối, chỉ 5 tr",5 triệu/tháng,30,"Hải Châu, Đà Nẵng","1 phòng duy nhất có sân thượng thoáng, full nội thất, gần 3 trường Đại học, chợ đầu mối, chỉ 5 tr 5 triệu/tháng 30 m 2 Hải Châu, Đà Nẵng CHỈ CÓ 1 PHÒNG DUY NHẤT, NỘI THẤT ĐẦY ĐỦ, CÓ GÁC ĐỂ ĐỒ, SÂN THƯỢNG CỰC THOÁNG VÀ CHILL! Diện tích 30m2, có điều hoà, nóng lạnh, bếp từ, bàn… 1 tháng trước",https://phongtro123.com/1-phong-duy-nhat-co-san-thuong-thoang-full-noi-that-gan-3-truong-dai-hoc-cho-dau-moi-chi-5-tr-pr678502.html,2026-05-14T16:52:22
phongtro123,"KÝ TÚC XÁ THU NHỎ GẦN ĐẠI HỌC KIẾN TRÚC, ĐÔNG Á, NGOẠI NGỮ, GẦN CHỢ ĐẦU MỐ - 1.5…",1.55 triệu/tháng,50,"Hải Châu, Đà Nẵng","KÝ TÚC XÁ THU NHỎ GẦN ĐẠI HỌC KIẾN TRÚC, ĐÔNG Á, NGOẠI NGỮ, GẦN CHỢ ĐẦU MỐ - 1.5… 1.55 triệu/tháng 50 m 2 Hải Châu, Đà Nẵng Vị trí : 89 Hồ Nguyên Trừng, Hoà Cường Nam, Hải Châu, Đà Nẵng. . Trọn gói tất tần tật chỉ cần xách balo vào ở. ️‍ Tiện nghi : Phòng sạch sẽ,… 1 tháng trước",https://phongtro123.com/ky-tuc-xa-thu-nho-gan-dai-hoc-kien-truc-dong-a-ngoai-ngu-gan-cho-dau-mo-1-5-trieu-nguoi-baotron-pr662760.html,2026-05-14T16:52:22
phongtro123,CHO THUÊ PHÒNG MỚI XÂY XONG - 0368022331,3.5 triệu/tháng,20,"Liên Chiểu, Đà Nẵng","CHO THUÊ PHÒNG MỚI XÂY XONG - 0368022331 3.5 triệu/tháng 20 m 2 Liên Chiểu, Đà Nẵng CHO THUÊ PHÒNG MỚI XÂY XONG - 0368022331Địa chỉ: Nhà Trọ Lan Hương, 81b Đào Sư Tích, Liên Chiểu, Đà Nẵng 50612Khu vực Hoà Khánh,gần bến xe,kế bên đường… 1 tháng trước",https://phongtro123.com/cho-thue-can-ho-moi-xay-xong-0368022331-hoa-khanh-lien-chieu-da-nang-pr704764.html,2026-05-14T16:52:22
phongtro123,"CHO THUÊ PHÒNG MỚI XÂY CÓ CỬA SỔ VÀ BAN CÔNG, MÁY GIẶT RIÊNG",4.2 triệu/tháng,20,"Hải Châu, Đà Nẵng","CHO THUÊ PHÒNG MỚI XÂY CÓ CỬA SỔ VÀ BAN CÔNG, MÁY GIẶT RIÊNG 4.2 triệu/tháng 20 m 2 Hải Châu, Đà Nẵng CHO THUÊ PHÒNG TIỆN NGHI MỚI XÂY ( 15/4 có phòng )Đường Nguyễn Trác nối dài (K640 Trưng Nữ Vương, Hoà CườngĐà Nẵng.Phòng từ 20-25m2 có ban côngFull… 1 tháng trước",https://phongtro123.com/cho-thue-can-ho-moi-xay-co-cua-so-va-ban-cong-may-giat-rieng-2-pr704718.html,2026-05-14T16:52:22
phongtro123,"Cho thuê phòng số 79 Hoá Sơn 6, Đà Nẵng",3.5 triệu/tháng,15,"Hải Châu, Đà Nẵng","Cho thuê phòng số 79 Hoá Sơn 6, Đà Nẵng 3.5 triệu/tháng 15 m 2 Hải Châu, Đà Nẵng CHO THUÊ PHÒNG NGỦ FULL NỘI THẤT – ĐƯỜNG HÓA SƠN 6, ĐÀ NẴNGNhà đẹp, vào ở ngay – phù hợp gia đình, nhóm bạn hoặc chuyên gia làm việc tại Đà… 1 tháng trước",https://phongtro123.com/cho-thue-can-ho-so-79-hoa-son-6-da-nang-pr702397.html,2026-05-14T16:52:22
phongtro123,"PASS TRỌ GẤP Ạ, DO EM PHẢI VỀ QUÊ Ạ",1.8 triệu/tháng,20,"Liên Chiểu, Đà Nẵng","PASS TRỌ GẤP Ạ, DO EM PHẢI VỀ QUÊ Ạ 1.8 triệu/tháng 20 m 2 Liên Chiểu, Đà Nẵng ️️120/1 Nguyễn Lương Bằng,Liên Chiểu,Đà Nẵng GIÁ 2tr8 mà do mình về quê nên k tiếp tục ở nửa nên mình pass 1tr8 (có thể thương lượng lại) nhé và… 1 tháng trước",https://phongtro123.com/pass-tro-gap-a-do-em-phai-ve-que-a-pr704533.html,2026-05-14T16:52:22
