source,title,price,price_text,area_m2,district,ward,address,description,posted_at,url,crawled_at
nhatot,"Cho thuê phòng trọ tại 183/19 Tô Hiệu, Hòa Minh, Đà Nẵng",1200000,"1,2 triệu/tháng",20,Quận Liên Chiểu,Phường Hòa Minh,"16.0657336,108.1695504","Cho thuê phòng trọ tại 183/19 Tô Hiệu Đà Nẵng, thích hợp ở 1 người, khu vực yên tĩnh, an ninh dân trí cao, điện nước tính theo giá nhà nước nên rất phải chăng.",9 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/132339053,2026-05-14T16:52:22
nhatot,phòng trọ giá rẽ cho thuê ngay trung tâm Tp đã có đủ đồ Nội thất,2500000,"2,5 triệu/tháng",20,Quận Thanh Khê,Phường Xuân Hà,"16.0705977,108.1947536","Dự án: 
Thông tin chi tiết: Khu trọ ngay trung tâm thanh phố , gần Biển , gần chợ , và các tiện ích khác , đã có sẵn Nội thất như Gường , nệm , Điều hoà , máy nước nóng , ai cần thuê liên hệ ngay nhé ,",10 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/132372614,2026-05-14T16:52:22
nhatot,TRỌ 1 NỮ /Phòng. Không ở ghép tại K66 Ông Ích Khiêm,3000000,3 triệu/tháng,10,Quận Hải Châu,Phường Thanh Bình,"16.0755982,108.2132072","Dự án: 
Thông tin chi tiết: Phòng chỉ cho thuê 1 nữ, không ở ghép, bếp dùng chung, 2 nvs ( có người dọn dẹp khu vực chung 2 tuần / lần), máy giặt chung 
Có tổng 3 phòng, hiện còn 2 phòng trống.",19 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/131687209,2026-05-14T16:52:22
nhatot,TÌM BẠN NỮ Ở GHÉP TRỌ GẦN FPT,3000000,3 triệu/tháng,25,Quận Ngũ Hành Sơn,Phường Hoà Hải,"15.9756771,108.2546369","Dự án: 
Thông tin chi tiết: Mình là nữ, cần tìm 1 bạn ở ghép vào đầu tháng 6.
- Phòng 3tr chia 2 
- Gần FPT, đh Việt Hàn, trường Việt Mỹ
- Đầy đủ nội thất: máy lạnh, tủ lạnh, máy giặt,…
Ưu tiên các bạn đã đi làm, gọn gàng và sạch sẽ nhé.
Liên hệ zalo: ***",20 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/132369665,2026-05-14T16:52:22
nhatot,Căn hộ dịch vụ mini apartment Hòa Xuân Cẩm Lệ,3000000,3 triệu/tháng,25,Quận Cẩm Lệ,Phường Hòa Xuân,"16.0083783,108.2183847","Trực tiếp đến ***
- Giá 3.000.000 phòng 1 người, 3.500.000 phòng 2 người.
- Căn hộ dịch vụ mini đầy đủ tiện nghi (giường, tủ quần áo, điều hòa, hệ thống nóng lạnh mặt trời, nhà giữ xe, camera, khu giặt đồ và phơi đồ,... ).
- Thanh toán linh động theo từng tháng.
- Gần các tiện ích như Vinmart, chợ, công viên,...
- Khu vực dân trí và an ninh cao, giờ giấc tự do.
- ***",23 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/122592431,2026-05-14T16:52:22
nhatot,cần tìm bạn nữ thuê phòng ngay trung tâm thành phố đường Hoàng Diệu,2750000,"2,75 triệu/tháng",20,Quận Hải Châu,Phường Hải Châu  I,"16.0710885,108.2214415","Dự án: 
Thông tin chi tiết: có sẵn máy lạnh trong phòng, có tủ lạnh, máy giặt và bếp, đầy đủ tiện nghi
không chung chủ, giờ giấc tự do, khi vực an ninh, gần chợ và các trường đại học
Giá thuê: 2tr750 có thể hỗ trợ giá 2tr500 nếu ở 1 người
Tiền điện + nước giá dân, rẻ (chia đầu người, trung bình 100k-130k/ng)
Tiền wifi: 190k/ tháng (chia số người ở)
Tiền rác: 25k/ tháng (chia số người ở)",hôm qua,https://gateway.chotot.com/v1/public/ad-listing/132362573,2026-05-14T16:52:22
nhatot,căn hộ mini vừa túi tiền đường Tạ Hiện 25m2 gần chợ Hoà Cường,3800000,"3,8 triệu/tháng",25,Quận Hải Châu,Phường Hòa Cường Bắc,"16.0422387,108.2182683","Dự án: 
Thông tin chi tiết: Căn hộ mini vừa túi tiền rộng 25m2 đường Tạ Hiện gần chợ Hoà Cường, gần đường Lê Thanh Nghị, 30/4 và gần các trường học, sân bay, siêu thị , bệnh viện
Điện có đồng hồ riêng 3500₫/kwh
Nước 50k/ người
Wifi miễn phí, ko phụ thu
Giờ giấc tự do
Liên hệ trực tiếp chủ nhà theo số đt người đăng hoặc lh số đt ***
Ko tiếp trung gian, hình ảnh đúng thực tế 100%",hôm qua,https://gateway.chotot.com/v1/public/ad-listing/132322566,2026-05-14T16:52:22
nhatot,Nhà trọ cổng riêng biệt ngay cầu vượt,2500000,"2,5 triệu/tháng",25,Quận Liên Chiểu,Phường Hòa Minh,"16.0661866,108.169521","Phòng trọ còn trống mới sơn sửa, chống thấm bài bản

- Vị trí: Kiệt đường Bàu Năng 11; ngay cầu vượt Ngã 3 Huế
- Cổng riêng biệt, giờ giấc tự do
- Điện, nước theo nhà dùng

LH xem phòng theo SDT trên tin đăng
cảm ơn!",hôm qua,https://gateway.chotot.com/v1/public/ad-listing/132358155,2026-05-14T16:52:22
nhatot,Phòng trọ 3 sao mới xây tiện nghi Nguyễn Duy Trinh,2500000,"2,5 triệu/tháng",20,Quận Ngũ Hành Sơn,Phường Hoà Hải,"15.986558,108.2674092","Cho thuê phòng trọ lầu đúc 4 tầng mới xây giá từ 2tr- 3tr/tháng (thay đổi tùy vào vị trí của phòng như mặt tiền, mặt sau, lầu 1, lầu 4,…nhưng chất lượng phòng vẫn không đổi). Có đầy đủ giường, quạt, điều hòa,máy giặt (100.000/tháng), WC riêng trong phòng sạch sẽ kín đáo như khách sạn, có chỗ nấu ăn,bếp,  bồn rửa chén, máy nước nóng, sân thượng phơi đồ thoáng mát,... wifi cáp miễn phí, có chỗ để xe trong nhà an toàn, có camera an ninh. Phòng được thiết kế thoáng mát, yên tĩnh, sạch sẽ, lối đi riêng không chung chủ, được tự do nấu ăn. Vị trí thuận lợi, yên tĩnh, gần trung tâm đà nẵng, gần chợ Non nước, gần biển, gần khu du lịch núi Ngũ Hành Sơn, các trường đại học lớn, khu FPT, resort 5 sao. Giờ giấc tự do. 
Bạn nào cần một chốn bình yên để đi về nghỉ ngơi sau những giờ làm việc, học tập mệt mỏi, xin liên hệ chủ nhà qua sđt: *** (chính chủ) 
Hiện còn:
• 3 phòng 2tr2: nằm ở tầng 2,3,4 ( có điều hòa )
• 1 phòng 3tr5: nằm ở tầng trệt, rộng 24m2 (có điều hòa, tủ lạnh )
 
Địa chỉ 96 Nguyễn Duy Trinh ( rẽ vào đường Hỏa Sơn 2 khoảng 30m), quận Ngũ Hành Sơn, Đà Nẵng 
Xin cảm ơn các bạn đã quan tâm. Thân ái!",hôm qua,https://gateway.chotot.com/v1/public/ad-listing/130683785,2026-05-14T16:52:22
nhatot,cho thuê phòng trọ,2000000,2 triệu/tháng,20,Quận Cẩm Lệ,Phường Hòa An,"16.0436046,108.1698553","Dự án: 
Thông tin chi tiết: Cho thuê p trọ cách đại học duy tân 800 m khu phước lý",hôm qua,https://gateway.chotot.com/v1/public/ad-listing/132354661,2026-05-14T16:52:22
