source,title,price_vnd,price_text,area_m2,price_per_m2,district,ward,address,description,posted_at,url,crawled_at
phongtro123,"CHO THUÊ PHÒNG TRỌ GIÁ RẺ, HÒA XUÂN, QUẬN CẨM LỆ, TP ĐÀ NẴNG",1300000.0,1.3 triệu/tháng,20.0,65000.0,Cẩm Lệ,,,"CHO THUÊ PHÒNG TRỌ GIÁ RẺ, HÒA XUÂN, QUẬN CẨM LỆ, TP ĐÀ NẴNG 1.3 triệu/tháng 20 m 2 Cẩm Lệ, Đà Nẵng CÒN 1 PHÒNG TRỐNG CHO THUÊ GIÁ RẺ MÙA DỊCH .đường rộng 7,5m , lương khắc ninh , phường hòa xuân , quận cẩm lệ , tp đà nẵng .Phòng mới rộng rãi có… 4 năm trước",,https://phongtro123.com/cho-thue-phong-tro-gia-re-hoa-xuan-quan-cam-le-tp-da-nang-pr585464.html,2026-05-15T11:08:05
phongtro123,"Phòng trọ chất lượng tại Khu ĐT Sinh thái Hòa Xuân, Cẩm Lệ, Đà Nẵng",1700000.0,1.7 triệu/tháng,18.0,94444.44444444444,Cẩm Lệ,,,"Phòng trọ chất lượng tại Khu ĐT Sinh thái Hòa Xuân, Cẩm Lệ, Đà Nẵng 1.7 triệu/tháng 18 m 2 Cẩm Lệ, Đà Nẵng Phòng 18m2, khu để xe máy riêng, camera an ninh, giờ giấc tự do.Miễn phí sử dụng máy giặt, nước nóng NLMT hỗ trợ điện, internet wifi, vòi xịt rửa xe.… 4 năm trước",,https://phongtro123.com/phong-tro-chat-luong-tai-khu-dt-sinh-thai-hoa-xuan-cam-le-da-nang-pr585432.html,2026-05-15T11:08:05
phongtro123,"Cho thuê phòng trọ trên đường Hoàng Thế Thiện Hòa Xuân, Ngay sau lưng Mega Market. Giá 2tr2 đến 2tr5…",2000000.0,2 triệu/tháng,30.0,66666.66666666667,Cẩm Lệ,,,"Cho thuê phòng trọ trên đường Hoàng Thế Thiện Hòa Xuân, Ngay sau lưng Mega Market. Giá 2tr2 đến 2tr5… 2 triệu/tháng 30 m 2 Cẩm Lệ, Đà Nẵng CĂN HỘ CHO THUÊ ĐƯỜNG HOÀNG THẾ THIỆN⭕️- Đầy đủ tiện nghi: giường 1m8/chăn/drap/gối, cây phơi đồ, phòng vệ sinh riêng từng phòng- Tủ lạnh… 4 năm trước",,https://phongtro123.com/cho-thue-phong-duong-hoang-the-thien-hoa-xuan-sau-lung-mega-market-pr588263.html,2026-05-15T11:08:05
phongtro123,"Cho thuê phòng trọ 291/23 Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê gần Lê Độ",1500000.0,1.5 triệu/tháng,20.0,75000.0,Thanh Khê,,,"Cho thuê phòng trọ 291/23 Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê gần Lê Độ 1.5 triệu/tháng 20 m 2 Thanh Khê, Đà Nẵng Cho thuê phòng trọ 291/23 Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà NẵngPhòng mới, sạch sẽ, thoáng mátPhòng có: Gác lững rộng, nhà vệ sinh sạch… 4 năm trước",,https://phongtro123.com/cho-thue-phong-tro-tran-cao-van-gan-le-do-pr588262.html,2026-05-15T11:08:05
phongtro123,Phòng trọ 231 Lê Thanh Nghị quận Hải Châu 30m2 giá 2tr5/tháng,2500000.0,2.5 triệu/tháng,30.0,83333.33333333333,Hải Châu,,,"Phòng trọ 231 Lê Thanh Nghị quận Hải Châu 30m2 giá 2tr5/tháng 2.5 triệu/tháng 30 m 2 Hải Châu, Đà Nẵng Phòng trọ Lê Thanh Nghị quận Hải Châu-phòng ốc rộng rãi ,thoáng mát ,sạch sẽ.-diện tích 30m2 , ngang 5m-wc riêng ,khéo kín ,có sân thượng phơi… 4 năm trước",,https://phongtro123.com/phong-tro-le-thanh-nghi-quan-hai-chau-30m2-pr588181.html,2026-05-15T11:08:05
phongtro123,PHÒNG TRỌ MỚI XÂY RỘNG 30M2 ĐƯỜNG HOÀNG THẾ THIỆN,2500000.0,2.5 triệu/tháng,30.0,83333.33333333333,Cẩm Lệ,,,"PHÒNG TRỌ MỚI XÂY RỘNG 30M2 ĐƯỜNG HOÀNG THẾ THIỆN 2.5 triệu/tháng 30 m 2 Cẩm Lệ, Đà Nẵng PHÒNG CHO THUÊ GẦN ĐẠI HỌC ĐÔNG Á⭕️- Đầy đủ tiện nghi: giường 1m8/chăn/drap/gối, cây phơi đồ, nhà vệ sinh riêng, điều hòa- Tủ lạnh chung- Bếp… 4 năm trước",,https://phongtro123.com/phong-tro-moi-xay-rong-30m2-duong-hoang-the-thien-pr587246.html,2026-05-15T11:08:09
phongtro123,"Cho Thuê phòng trọ 15m2 có wc riêng, tại k158/69a Đường Trần Cao Vân ngay trung tâm Tp giá chỉ 1.5tr/tháng",1500000.0,1.5 triệu/tháng,15.0,100000.0,Thanh Khê,,,"Cho Thuê phòng trọ 15m2 có wc riêng, tại k158/69a Đường Trần Cao Vân ngay trung tâm Tp giá chỉ 1.5tr/tháng 1.5 triệu/tháng 15 m 2 Thanh Khê, Đà Nẵng Hiện tại mình còn 1 phòng trọ cho thuê giá 1tr5, tại 158/69A trần cao vân cách chợ mấy bước chân, trung tâm tp thuận tiện đi lại và làm việc.Phòng rộng… 4 năm trước",,https://phongtro123.com/cho-thue-phong-tro-15-m2-co-wc-rieng-trung-tam-thanh-pho-gia-chi-1-5-tr-pr587975.html,2026-05-15T11:08:09
phongtro123,"Phòng trọ sinh viên giá chỉ 2 triệu/tháng tại 11 Nguyễn Xuân Khoát, Sơn Trà, Đà Nẵng",2000000.0,2 triệu/tháng,25.0,80000.0,Sơn Trà,,,"Phòng trọ sinh viên giá chỉ 2 triệu/tháng tại 11 Nguyễn Xuân Khoát, Sơn Trà, Đà Nẵng 2 triệu/tháng 25 m 2 Sơn Trà, Đà Nẵng ️ PHÒNG này có giá 2tr nè Phòng Trọ full nội thất - Giá sinh viên‍️ Tiện ích: full nội thất, điều hòa, nóng lạnh, FREE wifi, camera 24/24,...Địa chỉ:… 4 năm trước",,https://phongtro123.com/phong-tro-sinh-vien-gia-re-da-nang-pr587793.html,2026-05-15T11:08:09
phongtro123,"Phòng trọ sinh viên, giá rẻ tại 485 Nguyễn Tất Thành, Phường Tam Thuận, Quận Thanh Khê",2000000.0,2 triệu/tháng,25.0,80000.0,Thanh Khê,,,"Phòng trọ sinh viên, giá rẻ tại 485 Nguyễn Tất Thành, Phường Tam Thuận, Quận Thanh Khê 2 triệu/tháng 25 m 2 Thanh Khê, Đà Nẵng Trống vài phòng trọ khu vực Sơn TràToà 11 Nguyễn Xuân Khoát ngay gần cầu sông Hàn, bên cạnh đường Phạm Văn Đồng. Chỉ cách biển 200m thôi… 4 năm trước",,https://phongtro123.com/phong-tro-sinh-vien-gia-re-da-nang-2-pr587795.html,2026-05-15T11:08:09
phongtro123,"Phòng trọ mới xây quận Cẩm Lệ 20m, gần khu công nghiệp Hòa Cầm, chợ Hòa Cầm 200m",1500000.0,1.5 triệu/tháng,20.0,75000.0,Cẩm Lệ,,,"Phòng trọ mới xây quận Cẩm Lệ 20m, gần khu công nghiệp Hòa Cầm, chợ Hòa Cầm 200m 1.5 triệu/tháng 20 m 2 Cẩm Lệ, Đà Nẵng Phòng mới xây, ngay ngã ba Hòa Cầm, gần khu công nghiệp Hòa Cầm 300m, chợ Hòa Cầm 200m, bệnh viện trường học các cấp 200m.Có sân phơi và nhà để xe… 4 năm trước",,https://phongtro123.com/phong-tro-moi-xay-quan-cam-le-20m-pr587692.html,2026-05-15T11:08:09
